"FOREIGN_TABLE","PRIMARY_TABLE","CONSTRAINT_NAME","FK_COLUMNS"
"customers","employees","customers_ibfk_1","salesRepEmployeeNumber"
"employees","employees","employees_ibfk_1","reportsTo"
"employees","offices","employees_ibfk_2","officeCode"
"orderdetails","orders","orderdetails_ibfk_1","orderNumber"
"orderdetails","products","orderdetails_ibfk_2","productCode"
"orders","customers","orders_ibfk_1","customerNumber"
"payments","customers","payments_ibfk_1","customerNumber"
"products","productlines","products_ibfk_1","productLine"
