"TABLE","TABLE_ROWS","TABLE_COLUMNS","DATA_SIZE_KB","INDEX_SIZE_KB","TOTAL_SIZE_KB"
"customers","122","13","16","16","32"
"employees","23","8","16","33","49"
"offices","7","9","16","0","16"
"orderdetails","2996","5","164","82","246"
"orders","326","7","49","16","65"
"payments","273","4","16","0","16"
"productlines","7","4","16","0","16"
"products","110","9","66","16","82"
