"DB_NAME","OBJECT_TYPE","INDEX_TYPE","TOTAL_COUNT","IDX_COUNT","IS_HEAP","ROW_COUNT","TOTAL_SPACE_KB","USED_SPACE_KB","UNUSED_SPACE_KB"
"adventureworks","TABLE","CLUSTERED","69","102","69","758737","94024.00","87392.00","6632.00"
"adventureworks","TABLE","HEAP","2","2","2","2100","6616.00","6520.00","96.00"
