"DB_NAME","DATABASE_ID","COMPATIBILITY_LEVEL","COLLATION_NAME","USER_ACCESS_DESC","RECOVERY_MODEL","RECOVERY_MODEL_DESC","IS_FULLTEXT_ENABLED","IS_BROKER_ENABLED","IS_READ_ONLY","STATE_DESC","CREATE_DATE"
"AdventureWorks","7","130","SQL_Latin1_General_CP1_CI_AI","MULTI_USER","3","SIMPLE","True","True","False","ONLINE","2022-10-26 14:31:40.320000"
"master","1","130","SQL_Latin1_General_CP1_CI_AI","MULTI_USER","3","SIMPLE","False","False","False","ONLINE","2003-04-08 09:13:36.390000"
"model","3","130","SQL_Latin1_General_CP1_CI_AI","MULTI_USER","1","FULL","False","False","False","ONLINE","2003-04-08 09:13:36.390000"
"msdb","4","130","SQL_Latin1_General_CP1_CI_AI","MULTI_USER","3","SIMPLE","True","True","False","ONLINE","2016-04-30 00:46:38.773000"
"ReportServer","5","130","Latin1_General_100_CI_AS_KS_WS","MULTI_USER","1","FULL","True","True","False","ONLINE","2019-06-05 15:27:35.817000"
"ReportServerTempDB","6","130","Latin1_General_100_CI_AS_KS_WS","MULTI_USER","3","SIMPLE","True","True","False","ONLINE","2019-06-05 15:27:36.287000"
"tempdb","2","130","SQL_Latin1_General_CP1_CI_AI","MULTI_USER","3","SIMPLE","False","True","False","ONLINE","2022-10-12 09:46:00.173000"
