"FOREIGN_TABLE","PRIMARY_TABLE","CONSTRAINT_NAME","FK_COLUMNS"
"Sales.CountryRegionCurrency","Person.CountryRegion","FK_CountryRegionCurrency_CountryRegion_CountryRegionCode","CountryRegionCode"
"Sales.CountryRegionCurrency","Sales.Currency","FK_CountryRegionCurrency_Currency_CurrencyCode","CurrencyCode"
"Sales.CurrencyRate","Sales.Currency","FK_CurrencyRate_Currency_FromCurrencyCode","FromCurrencyCode"
"Sales.CurrencyRate","Sales.Currency","FK_CurrencyRate_Currency_ToCurrencyCode","ToCurrencyCode"
"Sales.Customer","Person.Person","FK_Customer_Person_PersonID","PersonID"
"Sales.Customer","Sales.SalesTerritory","FK_Customer_SalesTerritory_TerritoryID","TerritoryID"
"Sales.Customer","Sales.Store","FK_Customer_Store_StoreID","StoreID"
"Sales.PersonCreditCard","Person.Person","FK_PersonCreditCard_Person_BusinessEntityID","BusinessEntityID"
"Sales.PersonCreditCard","Sales.CreditCard","FK_PersonCreditCard_CreditCard_CreditCardID","CreditCardID"
"Sales.SalesOrderDetail","Sales.SalesOrderHeader","FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID","SalesOrderID"
"Sales.SalesOrderDetail","Sales.SpecialOfferProduct","FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID","ProductID, SpecialOfferID"
"Sales.SalesOrderHeader","Person.Address","FK_SalesOrderHeader_Address_BillToAddressID","BillToAddressID"
"Sales.SalesOrderHeader","Person.Address","FK_SalesOrderHeader_Address_ShipToAddressID","ShipToAddressID"
"Sales.SalesOrderHeader","Purchasing.ShipMethod","FK_SalesOrderHeader_ShipMethod_ShipMethodID","ShipMethodID"
"Sales.SalesOrderHeader","Sales.CreditCard","FK_SalesOrderHeader_CreditCard_CreditCardID","CreditCardID"
"Sales.SalesOrderHeader","Sales.CurrencyRate","FK_SalesOrderHeader_CurrencyRate_CurrencyRateID","CurrencyRateID"
"Sales.SalesOrderHeader","Sales.Customer","FK_SalesOrderHeader_Customer_CustomerID","CustomerID"
"Sales.SalesOrderHeader","Sales.SalesPerson","FK_SalesOrderHeader_SalesPerson_SalesPersonID","SalesPersonID"
"Sales.SalesOrderHeader","Sales.SalesTerritory","FK_SalesOrderHeader_SalesTerritory_TerritoryID","TerritoryID"
"Sales.SalesOrderHeaderSalesReason","Sales.SalesOrderHeader","FK_SalesOrderHeaderSalesReason_SalesOrderHeader_SalesOrderID","SalesOrderID"
"Sales.SalesOrderHeaderSalesReason","Sales.SalesReason","FK_SalesOrderHeaderSalesReason_SalesReason_SalesReasonID","SalesReasonID"
"Sales.SalesPerson","HumanResources.Employee","FK_SalesPerson_Employee_BusinessEntityID","BusinessEntityID"
"Sales.SalesPerson","Sales.SalesTerritory","FK_SalesPerson_SalesTerritory_TerritoryID","TerritoryID"
"Sales.SalesPersonQuotaHistory","Sales.SalesPerson","FK_SalesPersonQuotaHistory_SalesPerson_BusinessEntityID","BusinessEntityID"
"Sales.SalesTaxRate","Person.StateProvince","FK_SalesTaxRate_StateProvince_StateProvinceID","StateProvinceID"
"Sales.SalesTerritory","Person.CountryRegion","FK_SalesTerritory_CountryRegion_CountryRegionCode","CountryRegionCode"
"Sales.SalesTerritoryHistory","Sales.SalesPerson","FK_SalesTerritoryHistory_SalesPerson_BusinessEntityID","BusinessEntityID"
"Sales.SalesTerritoryHistory","Sales.SalesTerritory","FK_SalesTerritoryHistory_SalesTerritory_TerritoryID","TerritoryID"
"Sales.ShoppingCartItem","Production.Product","FK_ShoppingCartItem_Product_ProductID","ProductID"
"Sales.SpecialOfferProduct","Production.Product","FK_SpecialOfferProduct_Product_ProductID","ProductID"
"Sales.SpecialOfferProduct","Sales.SpecialOffer","FK_SpecialOfferProduct_SpecialOffer_SpecialOfferID","SpecialOfferID"
"Sales.Store","Person.BusinessEntity","FK_Store_BusinessEntity_BusinessEntityID","BusinessEntityID"
"Sales.Store","Sales.SalesPerson","FK_Store_SalesPerson_SalesPersonID","SalesPersonID"
