ID_SEQ,ID_SEQ_PARENT,RIG_TIR_ID_SEQ,RIG_TST_ID_SEQ,NODE_ID_SEQ,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,SYS_EXEC_DURATION
1502872,1502871,33252,54,178043,705,2009-03-04 11:33:04,705,2009-03-04 11:33:04,7.86639
818237,818236,25154,192,,69,2006-10-27 12:17:17,69,2006-10-27 12:17:17,7.866999
3784204,3784203,50222,250,506399,625,2021-12-21 16:01:21,625,2021-12-21 16:01:21,7.867201
1325190,1325185,31144,34,52949,705,2008-08-25 15:06:18,705,2008-08-25 15:06:18,7.867385
2282714,2282713,5923,32,,427,2011-07-27 14:41:26,427,2011-07-27 14:41:26,7.867628
