"TABLE","TABLE_ROWS","TOTAL_INDEX","DATA_SIZE_KB","INDEX_SIZE_KB"
"CONTACTS","319","1","64","64"
"COUNTRIES","25","1","64","64"
"CUSTOMERS","319","1","64","64"
"EMPLOYEES","107","1","64","64"
"INVENTORIES","1,112","1","64","64"
"LOCATIONS","23","1","64","64"
"ORDERS","105","1","64","64"
"ORDER_ITEMS","665","1","64","64"
"PRODUCTS","288","1","64","64"
"PRODUCT_CATEGORIES","5","1","64","64"
"REGIONS","4","1","64","64"
"WAREHOUSES","9","1","64","64"
