"OWNER","VIEW_NAME","VIEW_FULL_NAME","TEXT_LENGTH"
"OT","COUNTRY_LOCATIONS","OT.COUNTRY_LOCATIONS","182"
"OT","ORDER_DETAILS","OT.ORDER_DETAILS","184"
