"TABLE"
"DATABASECHANGELOG"
"DATABASECHANGELOGLOCK"
"RIG_MATRIX_LCD"
"RIG_TITLE_RIGHTS"
"RIG_TITLE_STREAMING_CACHE"
"RIG_TITLE_STREAMING_CACHE_OLD"
"RIG_TITLE_STREAMING_LOG"
"RIG_TREE_RIGHTS"
