"TABLE","TABLE_ROWS","TOTAL_INDEX","DATA_SIZE_KB","INDEX_SIZE_KB"
"DATABASECHANGELOG","0","0","520","0"
"DATABASECHANGELOGLOCK","0","2","520","536"
"RIG_MATRIX_LCD","149,869","16","22,960","14,800"
"RIG_TITLE_RIGHTS","45,267","10","4,240","5,600"
"RIG_TITLE_STREAMING_CACHE","7,571,991","579","1,019,264","600,384"
"RIG_TITLE_STREAMING_CACHE_OLD","0","0","80","0"
"RIG_TITLE_STREAMING_LOG","31,498,810","995","4,285,856","1,033,024"
"RIG_TREE_RIGHTS","2,716,681","331","163,840","294,912"
